"who" "news" "tags" "tags_news"
"AUS_sydmor" 36499.9999999954 67989 1.86
"BRA_oglobo" 36325.9999999966 64508 1.78
"CAN_tostar" 35833.9999999957 68215 1.9
"CHN_mopost" 36488.9999999906 98560 2.7
"DEU_frankf" 36405.9999999963 60963 1.67
"DZA_alnaha" 32756.9999999974 64035 1.95
"EGY_alwafd" 36499.9999999962 68384 1.87
"ESP_abc" 36093.9999999963 67176 1.86
"FRA_lmonde" 34266.9999999968 57417 1.68
"GBR_indept" 36499.999999995 70885 1.94
"IDN_republ" 36433.9999999954 71656 1.97
"IND_tindia" 36499.9999999945 79174 2.17
"IRN_hamsha" 36276.9999999925 86970 2.4
"ISR_jerpos" 33974.999999995 71207 2.1
"ITA_stampa" 36061.9999999926 89427 2.48
"JPN_shikok" 36499.9999999916 97879 2.68
"KEN_standa" 28588.9999999982 61738 2.16
"MEX_inform" 36093.9999999966 66917 1.85
"NGA_vangua" 28765.9999999978 58113 2.02
"PAK_thenew" 33049.9999999961 70400 2.13
"RUS_nezgaz" 34946.9999999931 98479 2.82
"SGP_today" 32872.9999999963 62143 1.89
"TUR_sabah" 36499.9999999944 75492 2.07
"TWN_chipos" 28726.999999997 55709 1.94
"UKR_fakty" 31399.9999999956 92341 2.94
"USA_nytime" 36499.9999999961 65623 1.8
"ZAF_times" 29162.999999998 50993 1.75
