media;language;sample;tags;FP;FN;precision;recall;F-value
DZA_alnaha;arabic;100;200;5;15;0,975;0,929;0,951
EGY_alwafd;arabic;100;200;6;9;0,970;0,956;0,963
AUS_sydmor;english;100;200;3;5;0,985;0,975;0,980
CAN_tostar;english;100;200;0;7;1,000;0,966;0,983
CHN_mopost;english;100;200;1;8;0,995;0,961;0,978
GBR_indept;english;100;200;3;11;0,985;0,947;0,966
IND_tindia;english;100;200;1;5;0,995;0,975;0,985
ISR_jerpos;english;100;200;0;11;1,000;0,948;0,973
KEN_standa;english;100;200;2;8;0,990;0,961;0,975
NGA_vangua;english;100;200;4;3;0,980;0,985;0,982
PAK_thenew;english;100;200;6;3;0,970;0,985;0,977
SGP_today;english;100;200;4;5;0,980;0,975;0,978
USA_nytime;english;100;200;5;3;0,975;0,985;0,980
ZAF_time;english;100;200;3;6;0,985;0,970;0,978
IRN_hamsha;farsi (persian);100;200;9;8;0,955;0,960;0,957
FRA_lmonde;french;100;200;0;9;1,000;0,957;0,978
DEU_frankf;german;100;200;0;11;1,000;0,948;0,973
IDN_republ;indonesian;100;200;4;1;0,980;0,995;0,987
ITA_repubb;italian;100;200;3;0;0,985;1,000;0,992
JPN_shikok;japanese;100;200;1;3;0,995;0,985;0,990
BRA_oglobo;portuguese;100;200;4;5;0,980;0,975;0,978
RUZ_nezgaz;russian;100;200;5;5;0,975;0,975;0,975
UKR_fakty;russian;100;200;3;0;0,985;1,000;0,992
ESP_abc;spanish;100;200;1;7;0,995;0,966;0,980
MEX_infoma;spanish;100;200;3;4;0,985;0,980;0,983
TUR_sabah;turkish;100;200;4;5;0,980;0,975;0,978
Total;;2600;5200;80;157;0,985;0,970;0,977
