"who";"tags";"news"
"ARG_nacion";41501;25687
"AUS_sydmor";55848;36500
"BRA_oglobo";57899;36329
"CAN_tostar";58482;35913
"CHN_mopost";58931;36487
"DEU_frankf";55206;36407
"DZA_alnaha";50445;32977
"EGY_alwafd";64564;36500
"ESP_abc";55696;36500
"FRA_lmonde";51065;34428
"GBR_indept";60214;36500
"IDN_republ";61464;36431
"IND_tindia";58278;36500
"IRN_hamsha";62725;36260
"ISR_jerpos";60967;33975
"ITA_repubb";48991;29170
"JPN_asahis";40156;29386
"KEN_standa";46397;28540
"MEX_inform";59189;36094
"NGA_vangua";44219;28638
"PAK_thenew";55169;33030
"RUS_nezgaz";63515;34900
"SGP_today";61372;32873
"TUR_sabah";63542;36500
"UKR_fakty";25751;18168
"USA_nytime";54903;36500
"ZAF_times";44113;29192
